UserID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Party,Happy,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024,votes
648,1995,Female,,Single (no kids),Current K-12,Republican,1,Yes,Yes,No,No,No,No,Public,No,Yes,No,No,Yes,Yes,Yes,Science,Study first,Yes,Yes,Yes,No,Giving,No,No,Pragmatist,No,Yes,Cool headed,Standard hours,Yes,Happy,Yes,Yes,No,Yes,A.M.,Yes,End,Yes,No,Me,No,Yes,No,Yes,No,Mysterious,No,No,Tunes,Technology,Yes,Yes,Yes,No,Yes,Supportive,No,Mac,No,Risk-friendly,No,Yes!,No,Space,Yes,In-person,No,Yes,Yes,Yes,Grrr people,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Own,Optimist,Mom,No,No,No,Yes,Nope,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,101
650,1974,Male,"$50,000 - $74,999",Domestic Partners (w/kids),Master's Degree,Other,1,,No,No,Yes,No,Yes,Public,No,Yes,No,Yes,Yes,Yes,No,Art,Study first,Yes,Yes,No,No,Giving,Yes,No,Idealist,No,No,Cool headed,Odd hours,Yes,Happy,Yes,Yes,No,No,P.M.,No,Start,Yes,No,Circumstances,Yes,Yes,Yes,No,No,TMI,Yes,No,Tunes,People,No,No,Yes,Yes,No,Supportive,No,Mac,Yes,Risk-friendly,Yes,Umm...,No,Space,No,In-person,No,Yes,Yes,No,Yay people!,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Own,Optimist,Mom,Yes,Yes,No,Yes,Nope,Yes,No,No,No,No,No,Yes,Yes,No,Yes,100
651,1983,Female,,Married (w/kids),High School Diploma,Independent,1,No,No,No,No,No,No,Public,Yes,Yes,No,Yes,No,No,Yes,Science,Try first,No,No,No,Yes,Giving,No,Yes,,Yes,No,Cool headed,Odd hours,No,Happy,Yes,Yes,Yes,No,P.M.,Yes,Start,Yes,Yes,Me,No,No,No,No,No,TMI,No,No,Tunes,People,Yes,No,No,,No,Supportive,No,PC,No,Cautious,No,Yes!,No,Socialize,Yes,In-person,No,Yes,Yes,Yes,Yay people!,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Own,Optimist,Dad,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,No,99
652,1997,Male,,,Current K-12,Independent,0,Yes,No,No,No,No,Yes,Public,Yes,No,Yes,No,Yes,Yes,Yes,Science,Try first,No,Yes,Yes,Yes,Giving,Yes,Yes,Idealist,No,No,Cool headed,Odd hours,Yes,Happy,Yes,Yes,No,No,P.M.,Yes,End,No,No,Circumstances,Yes,No,Yes,Yes,No,Mysterious,Yes,No,Tunes,People,No,No,Yes,No,Yes,Supportive,No,PC,No,Risk-friendly,No,Yes!,Yes,Socialize,Yes,In-person,No,Yes,Yes,Yes,Yay people!,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Rent,Optimist,,No,No,Yes,Yes,Nope,Yes,No,No,No,Yes,No,Only-child,No,No,Yes,100
655,1962,Female,,Single (no kids),High School Diploma,Democrat,1,,Yes,No,Yes,No,Yes,Private,No,Yes,No,Yes,No,No,No,Science,Study first,Yes,No,No,No,Giving,Yes,Yes,Pragmatist,No,No,Hot headed,Standard hours,Yes,Happy,Yes,Yes,No,No,A.M.,Yes,End,Yes,No,Circumstances,Yes,No,Yes,Yes,Yes,Mysterious,Yes,Yes,Tunes,People,Yes,Yes,Yes,,No,Supportive,Yes,Mac,Yes,Cautious,No,Yes!,No,Space,No,,,No,Yes,,,Yes,,,Yes,Yes,No,Yes,No,No,No,Yes,No,Own,Optimist,Mom,No,No,No,Yes,Check!,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,93
656,1992,Female,"under $25,000",Single (no kids),Current Undergraduate,Libertarian,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard hours,No,Right,Yes,No,No,Yes,P.M.,Yes,Start,Yes,No,Circumstances,No,Yes,Yes,Yes,Yes,TMI,No,No,Tunes,People,Yes,Yes,No,No,Yes,Supportive,No,Mac,No,Cautious,No,Yes!,Yes,Socialize,No,In-person,Yes,Yes,Yes,Yes,Grrr people,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Rent,Optimist,Dad,No,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,74
657,1996,Male,"over $150,000",Single (no kids),Current K-12,Democrat,1,,,No,No,No,Yes,Public,No,,No,Yes,No,Yes,Yes,Science,,,,No,No,Giving,,No,,No,,,Standard hours,No,,Yes,Yes,No,Yes,A.M.,Yes,Start,,No,,,,,,No,Mysterious,No,,Tunes,People,No,Yes,,No,Yes,Supportive,,PC,,Cautious,,Yes!,No,Space,Yes,Online,No,No,Yes,,,No,No,No,Yes,,Yes,Yes,No,No,No,Yes,,Own,,Mom,Yes,No,,,,Yes,No,No,,No,No,Only-child,,No,Yes,69
659,1988,Female,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Democrat,1,,,No,Yes,Yes,No,Public,Yes,Yes,No,,,Yes,,,Study first,Yes,,,No,Giving,Yes,Yes,,No,No,,,,,,,,,,,,,,,,,,,,Mysterious,No,No,Tunes,Technology,No,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,No,,,In-person,Yes,,,,,,,,,,,,No,Yes,Yes,Yes,No,Own,Pessimist,,No,Yes,Yes,Yes,Nope,Yes,No,No,No,,Yes,Yes,,,Yes,51
661,1987,Female,"$25,001 - $50,000",Married (no kids),Associate's Degree,Democrat,0,,Yes,,,Yes,No,Public,No,Yes,No,,Yes,,,,Study first,Yes,No,Yes,Yes,Receiving,Yes,No,Pragmatist,No,No,,,,,,,Yes,Yes,P.M.,Yes,Start,No,No,Me,Yes,Yes,,No,,,Yes,,Talk,Technology,No,,Yes,,No,Supportive,No,PC,Yes,Risk-friendly,No,Umm...,No,Space,No,In-person,Yes,,No,No,Grrr people,No,No,Yes,Yes,Yes,No,,,,,,,,Pessimist,Dad,Yes,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,No,74
662,1979,Female,"$100,001 - $150,000",Married (w/kids),High School Diploma,Republican,1,No,Yes,No,No,Yes,Yes,Public,No,Yes,No,Yes,No,No,Yes,,Study first,Yes,No,No,No,Giving,No,No,,,,Hot headed,Odd hours,No,Right,Yes,Yes,Yes,No,P.M.,Yes,Start,Yes,No,Me,No,No,No,Yes,No,TMI,Yes,No,Talk,Technology,,,,,,,,Mac,Yes,Cautious,No,Yes!,No,Space,No,,Yes,Yes,,Yes,Grrr people,Yes,No,Yes,Yes,Yes,No,,No,No,Yes,Yes,No,Own,Optimist,Mom,No,Yes,Yes,Yes,Check!,Yes,,,,Yes,No,Yes,Yes,Yes,No,84
663,1996,Male,"$100,001 - $150,000",Single (no kids),Current K-12,Independent,1,Yes,Yes,Yes,Yes,No,Yes,Public,No,No,No,No,No,Yes,Yes,Science,Try first,No,Yes,No,No,Giving,No,Yes,Idealist,Yes,No,Cool headed,Odd hours,No,Happy,Yes,No,,Yes,P.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,Yes,,No,Mysterious,No,No,Tunes,People,No,Yes,Yes,No,Yes,Supportive,No,PC,No,Risk-friendly,No,Umm...,No,Space,Yes,In-person,No,No,Yes,Yes,Grrr people,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Own,Optimist,Mom,Yes,No,Yes,Yes,Nope,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,99
664,1979,Male,"$50,000 - $74,999",Domestic Partners (w/kids),Current Undergraduate,Democrat,0,Yes,No,No,Yes,No,No,Private,No,Yes,No,Yes,No,Yes,Yes,Science,Try first,Yes,No,No,No,Giving,Yes,Yes,Pragmatist,Yes,Yes,Cool headed,Standard hours,Yes,Happy,Yes,No,No,Yes,P.M.,Yes,End,No,Yes,Me,Yes,No,Yes,Yes,No,TMI,Yes,No,Tunes,People,No,No,No,No,No,Supportive,No,Mac,Yes,Cautious,No,Yes!,No,Socialize,No,In-person,Yes,No,Yes,Yes,Grrr people,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Rent,Optimist,Dad,No,Yes,No,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,101
665,1985,Female,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,,0,,,No,Yes,No,No,Public,Yes,Yes,No,,Yes,No,Yes,Art,Try first,Yes,No,,No,Giving,No,No,,No,No,,Standard hours,,,,,,,,No,Start,Yes,No,,,,No,,Yes,Mysterious,,No,Talk,,No,,Yes,,No,Supportive,Yes,,,Cautious,No,Yes!,,Space,No,,,Yes,No,Yes,Grrr people,,,,,,,No,No,Yes,Yes,Yes,No,Own,Pessimist,,No,No,Yes,Yes,,Yes,Yes,No,,,No,Yes,No,No,,64
666,1979,Female,"$50,000 - $74,999",Married (w/kids),Master's Degree,Democrat,1,No,Yes,No,Yes,No,No,Public,Yes,Yes,No,Yes,Yes,Yes,No,Science,Study first,Yes,No,Yes,Yes,Receiving,Yes,No,Pragmatist,Yes,No,Cool headed,Standard hours,No,Happy,Yes,Yes,Yes,Yes,P.M.,Yes,Start,Yes,No,Me,Yes,No,Yes,Yes,Yes,TMI,No,No,Tunes,People,No,Yes,Yes,No,,Demanding,Yes,Mac,Yes,Cautious,Yes,Umm...,No,Space,No,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Own,Optimist,Mom,Yes,Yes,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,100
667,1975,Male,"$50,000 - $74,999",Single (no kids),Associate's Degree,Independent,1,,Yes,,,No,Yes,Public,No,No,Yes,Yes,No,No,Yes,Science,Try first,No,Yes,Yes,No,Giving,No,No,Pragmatist,Yes,No,Cool headed,,,,,,,,,,,,,,Yes,Yes,No,Yes,No,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,Yes,No,Demanding,Yes,Mac,Yes,Cautious,No,,No,,,In-person,No,No,Yes,Yes,Grrr people,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Rent,,,,,,,,,No,Yes,Yes,,,,,,Yes,69
668,1970,Male,"over $150,000",Married (w/kids),High School Diploma,Other,1,,,,Yes,No,Yes,Public,No,Yes,No,Yes,No,No,Yes,Art,Try first,Yes,Yes,Yes,No,Giving,Yes,Yes,Idealist,No,No,Cool headed,Odd hours,No,Right,No,Yes,No,Yes,A.M.,Yes,Start,Yes,Yes,Circumstances,No,Yes,Yes,Yes,No,Mysterious,No,Yes,Talk,Technology,No,No,Yes,Yes,Yes,Supportive,No,Mac,Yes,Risk-friendly,No,Umm...,Yes,Space,No,Online,No,Yes,Yes,Yes,Grrr people,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Own,Optimist,Mom,No,Yes,No,Yes,Check!,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,98
669,1979,Female,"$100,001 - $150,000",Single (no kids),Bachelor's Degree,Democrat,0,No,No,No,No,No,No,Public,,Yes,No,,Yes,No,Yes,,Study first,Yes,No,Yes,Yes,Giving,Yes,No,Idealist,No,No,Cool headed,Standard hours,No,,Yes,Yes,No,Yes,P.M.,Yes,,,No,Circumstances,Yes,No,No,Yes,No,TMI,No,No,Tunes,Technology,No,Yes,Yes,No,Yes,Supportive,No,,No,Cautious,Yes,Yes!,No,Space,Yes,Online,No,No,Yes,Yes,Grrr people,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Own,,,No,Yes,Yes,Yes,Check!,Yes,No,No,No,,No,Yes,No,No,Yes,91
670,1957,Male,"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Republican,1,,No,No,Yes,Yes,No,Private,No,No,No,No,No,,Yes,,,,,,,,,Yes,Pragmatist,No,No,Cool headed,Standard hours,No,Right,No,Yes,Yes,No,A.M.,Yes,End,Yes,,Me,No,No,Yes,,No,TMI,No,Yes,Talk,People,Yes,Yes,No,No,Yes,Supportive,No,PC,Yes,Risk-friendly,No,Yes!,No,Socialize,No,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Own,Optimist,Dad,No,No,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,89
671,1971,Male,"$100,001 - $150,000",Married (no kids),Master's Degree,Independent,1,Yes,Yes,No,Yes,No,Yes,Public,No,Yes,No,Yes,No,Yes,Yes,Science,Study first,No,Yes,Yes,Yes,Giving,Yes,No,Idealist,No,No,Cool headed,Standard hours,No,Happy,Yes,Yes,Yes,No,A.M.,Yes,End,Yes,No,Circumstances,No,Yes,No,Yes,No,Mysterious,No,No,Tunes,People,No,No,Yes,Yes,Yes,Supportive,Yes,Mac,Yes,Cautious,Yes,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Grrr people,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Rent,Optimist,Mom,Yes,No,No,Yes,Check!,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,101
672,1995,Male,,Single (no kids),,Republican,1,No,No,No,No,Yes,Yes,Private,No,No,No,Yes,No,Yes,Yes,Science,Try first,No,Yes,Yes,No,Giving,No,Yes,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,Yes,No,No,No,P.M.,Yes,Start,Yes,Yes,Me,No,No,Yes,Yes,Yes,Mysterious,No,Yes,Tunes,People,Yes,Yes,Yes,Yes,Yes,Supportive,No,PC,No,Cautious,No,Umm...,No,Space,Yes,In-person,No,Yes,Yes,Yes,Grrr people,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Own,Optimist,Dad,No,No,No,Yes,Nope,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,101
673,1984,Male,"over $150,000",Single (no kids),Doctoral Degree,Democrat,0,,,No,,Yes,Yes,Public,,Yes,No,Yes,No,Yes,Yes,Science,,Yes,Yes,Yes,Yes,Giving,,No,Pragmatist,Yes,Yes,Cool headed,Standard hours,No,Right,No,Yes,No,No,A.M.,Yes,End,Yes,Yes,Me,Yes,No,Yes,Yes,Yes,Mysterious,,Yes,Tunes,People,,No,Yes,,Yes,Demanding,Yes,PC,Yes,,Yes,,No,Space,Yes,In-person,No,No,Yes,Yes,Yay people!,Yes,Yes,No,No,No,Yes,Yes,,No,,No,Yes,Own,Optimist,Mom,Yes,No,,Yes,Check!,No,No,No,Yes,Yes,,Yes,Yes,Yes,Yes,86
674,1998,Female,"$50,000 - $74,999",Single (no kids),Current K-12,Republican,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cautious,,,,,,,,,Yes,,,No,,,,No,,,,No,No,No,No,Own,Optimist,Dad,No,No,Yes,Yes,Nope,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,26
675,1972,Female,"over $150,000",Married (w/kids),Bachelor's Degree,Democrat,0,No,Yes,No,Yes,No,Yes,Public,No,Yes,No,Yes,No,No,Yes,Science,Study first,No,No,Yes,Yes,Giving,Yes,Yes,Pragmatist,No,No,Hot headed,Odd hours,No,Happy,Yes,Yes,No,Yes,P.M.,Yes,End,Yes,No,Me,Yes,No,Yes,No,No,TMI,No,No,Tunes,People,No,Yes,Yes,No,Yes,Supportive,Yes,PC,No,Cautious,No,Umm...,No,Socialize,No,In-person,No,No,Yes,No,Grrr people,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Own,Pessimist,Dad,No,Yes,Yes,Yes,Check!,Yes,No,No,No,Yes,Yes,Only-child,No,No,No,101
676,1969,Female,"$50,000 - $74,999",Single (no kids),Master's Degree,Independent,1,Yes,No,No,Yes,Yes,Yes,Public,No,Yes,No,Yes,No,Yes,Yes,Art,Study first,No,Yes,No,No,Receiving,Yes,No,Pragmatist,Yes,No,Cool headed,Standard hours,No,,Yes,Yes,Yes,Yes,P.M.,Yes,Start,Yes,No,Circumstances,Yes,No,No,Yes,No,Mysterious,No,Yes,Tunes,People,No,No,No,No,Yes,Supportive,Yes,PC,Yes,Cautious,No,Yes!,No,Space,Yes,In-person,Yes,Yes,Yes,Yes,Grrr people,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Own,Optimist,Mom,No,Yes,Yes,Yes,Check!,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,100
677,1996,Female,"under $25,000",,Current K-12,,0,No,Yes,No,No,No,Yes,Public,No,No,No,Yes,No,Yes,Yes,Science,Study first,Yes,No,No,No,Giving,Yes,Yes,Idealist,No,No,Hot headed,Standard hours,Yes,Right,Yes,No,No,No,A.M.,No,End,Yes,No,Circumstances,Yes,No,Yes,No,Yes,Mysterious,No,No,Tunes,People,Yes,No,Yes,No,Yes,Supportive,Yes,Mac,No,Cautious,No,Umm...,No,Space,No,In-person,No,No,Yes,Yes,Grrr people,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Own,Pessimist,Dad,No,Yes,Yes,Yes,Check!,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,101
678,1976,Female,"over $150,000",Married (w/kids),Bachelor's Degree,,0,Yes,No,,,No,Yes,Private,No,Yes,No,No,No,,Yes,Art,Try first,Yes,Yes,No,No,Giving,No,Yes,Pragmatist,No,Yes,Hot headed,Standard hours,No,Happy,Yes,Yes,No,Yes,P.M.,No,End,Yes,Yes,Me,Yes,Yes,No,No,Yes,Mysterious,Yes,Yes,Tunes,Technology,No,No,Yes,Yes,No,Demanding,Yes,PC,Yes,Cautious,No,Yes!,No,Space,Yes,In-person,No,No,No,Yes,Grrr people,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Own,Pessimist,Dad,No,No,No,Yes,Nope,No,No,No,Yes,Yes,Yes,Yes,No,No,No,98
679,1997,Male,"$75,000 - $100,000",Single (no kids),Current K-12,Republican,1,Yes,No,No,No,No,Yes,Private,No,Yes,Yes,Yes,No,Yes,Yes,Science,Study first,No,Yes,Yes,No,Receiving,Yes,Yes,Idealist,No,No,Cool headed,Standard hours,No,Happy,No,No,No,Yes,P.M.,Yes,Start,Yes,No,Circumstances,Yes,No,No,Yes,No,Mysterious,No,No,Tunes,People,Yes,Yes,Yes,Yes,Yes,Supportive,Yes,Mac,No,Cautious,No,Umm...,No,Socialize,Yes,In-person,No,Yes,Yes,Yes,Grrr people,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Own,Pessimist,Mom,No,Yes,Yes,Yes,Nope,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,101
680,1998,Male,"over $150,000",Single (no kids),Current K-12,Independent,1,Yes,Yes,No,No,Yes,Yes,Private,No,No,Yes,Yes,No,No,Yes,Science,Try first,No,Yes,,,,No,Yes,Idealist,No,Yes,Cool headed,Standard hours,Yes,Happy,Yes,Yes,Yes,Yes,P.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,No,Yes,No,Mysterious,No,Yes,Tunes,People,Yes,Yes,No,Yes,Yes,Supportive,No,Mac,No,Risk-friendly,No,Umm...,No,Socialize,Yes,In-person,No,Yes,Yes,No,Grrr people,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Own,Optimist,Dad,No,No,Yes,No,Nope,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,98
682,1989,Male,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat,1,No,No,Yes,No,No,No,Public,Yes,Yes,No,Yes,Yes,No,Yes,Art,Study first,No,Yes,Yes,No,Giving,No,No,Idealist,No,No,Cool headed,Odd hours,Yes,Happy,No,Yes,No,No,P.M.,Yes,End,Yes,No,Circumstances,No,Yes,No,Yes,No,Mysterious,Yes,No,Talk,People,No,Yes,No,Yes,No,Supportive,Yes,Mac,No,Cautious,No,Yes!,No,Socialize,No,In-person,No,Yes,Yes,Yes,Yay people!,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Rent,Optimist,Mom,No,Yes,Yes,Yes,Nope,No,No,No,No,Yes,No,Only-child,Yes,No,No,101
683,1999,Male,,Single (no kids),Current K-12,Independent,1,No,No,No,No,Yes,Yes,Public,No,No,No,Yes,No,Yes,Yes,Science,Try first,No,Yes,No,No,Receiving,,,,,,,,Yes,,,Yes,No,Yes,P.M.,,,,,Me,,,,,,,No,,,,,,,,Yes,,,PC,No,Cautious,No,,No,,Yes,In-person,No,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,38
686,1989,Male,"under $25,000",Single (no kids),Master's Degree,Republican,0,No,No,No,No,Yes,Yes,Public,No,Yes,No,Yes,No,Yes,Yes,Science,Study first,Yes,No,No,No,Giving,No,Yes,Pragmatist,No,Yes,Hot headed,Odd hours,No,Happy,Yes,Yes,No,Yes,P.M.,Yes,Start,Yes,No,Circumstances,No,No,Yes,Yes,No,Mysterious,Yes,No,Tunes,Technology,Yes,No,Yes,Yes,Yes,Supportive,No,Mac,No,Cautious,No,Umm...,No,Space,Yes,Online,Yes,No,Yes,Yes,Grrr people,No,No,No,No,No,No,Yes,No,No,No,No,No,Own,Optimist,Dad,No,No,No,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,101
687,1987,Male,"$50,000 - $74,999",Single (no kids),High School Diploma,Libertarian,1,Yes,No,No,Yes,No,No,Public,No,Yes,No,Yes,Yes,No,Yes,Science,Try first,Yes,Yes,No,No,Giving,No,No,Idealist,No,Yes,Cool headed,Standard hours,No,Happy,No,Yes,Yes,Yes,P.M.,Yes,End,Yes,No,Me,Yes,Yes,No,No,No,Mysterious,No,No,Tunes,People,No,Yes,Yes,Yes,Yes,Supportive,No,Mac,Yes,Cautious,No,Umm...,No,Space,No,In-person,Yes,No,Yes,Yes,Grrr people,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Rent,Optimist,Mom,No,Yes,No,Yes,Nope,Yes,No,No,No,No,No,Yes,No,No,No,101
688,1990,Male,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Republican,0,,No,No,Yes,No,Yes,Public,,Yes,No,,Yes,,,,,,,,,,,,,,,,,No,,,Yes,No,,A.M.,Yes,Start,Yes,Yes,Circumstances,No,Yes,No,Yes,Yes,TMI,Yes,No,Tunes,People,Yes,Yes,Yes,Yes,No,Supportive,Yes,PC,Yes,Cautious,No,Yes!,No,Socialize,Yes,,Yes,Yes,Yes,Yes,Yay people!,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Rent,Optimist,Mom,Yes,No,Yes,,Check!,Yes,Yes,No,Yes,,Yes,Yes,No,Yes,No,76
689,1966,Male,"over $150,000",Married (w/kids),Bachelor's Degree,Independent,1,No,Yes,No,Yes,No,Yes,Public,No,Yes,No,Yes,Yes,No,No,Science,Study first,No,Yes,Yes,Yes,Giving,No,No,Pragmatist,No,No,Cool headed,Standard hours,Yes,Happy,Yes,Yes,No,Yes,A.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,Yes,Yes,No,Mysterious,No,Yes,Tunes,Technology,Yes,Yes,Yes,No,Yes,Demanding,Yes,PC,Yes,Cautious,No,Yes!,No,Space,No,Online,No,No,No,Yes,Yay people!,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Own,Optimist,Mom,No,No,Yes,Yes,Check!,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,101
690,1984,Male,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Libertarian,1,No,,No,Yes,,,,,Yes,No,Yes,,,,Science,,No,No,Yes,No,Giving,Yes,Yes,,,,Cool headed,Standard hours,Yes,,Yes,Yes,No,Yes,,,,,,Me,,No,No,Yes,,Mysterious,,,Talk,Technology,No,No,,,No,Supportive,No,PC,,Cautious,,Umm...,No,Space,No,In-person,Yes,Yes,No,Yes,Grrr people,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,,,,No,,,,,,,,,No,Yes,Yes,No,,,62
692,1979,Male,"$50,000 - $74,999",Single (no kids),Associate's Degree,Libertarian,1,No,Yes,No,Yes,No,Yes,Public,No,Yes,No,Yes,No,No,Yes,Science,Study first,Yes,Yes,Yes,No,Giving,Yes,No,Idealist,No,No,Cool headed,Odd hours,Yes,Right,No,Yes,Yes,No,P.M.,No,End,Yes,Yes,Circumstances,Yes,Yes,No,No,No,TMI,Yes,No,Talk,Technology,No,Yes,Yes,No,No,Demanding,No,Mac,Yes,Cautious,No,Yes!,No,Space,No,Online,No,,No,Yes,Grrr people,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Own,Optimist,Dad,Yes,Yes,No,Yes,Check!,No,No,No,Yes,Yes,No,Yes,No,No,Yes,100
694,1970,Male,"$50,000 - $74,999",Married (w/kids),Master's Degree,Republican,1,No,Yes,No,Yes,Yes,Yes,Public,Yes,No,No,Yes,Yes,Yes,No,Science,Try first,No,No,Yes,Yes,Giving,Yes,No,Pragmatist,Yes,Yes,Cool headed,Odd hours,No,Happy,Yes,Yes,Yes,No,P.M.,Yes,Start,No,Yes,Me,Yes,No,Yes,Yes,No,TMI,No,Yes,Tunes,Technology,Yes,No,Yes,No,Yes,Demanding,No,PC,Yes,Risk-friendly,No,Yes!,No,Socialize,No,In-person,Yes,Yes,No,No,Yay people!,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Own,Optimist,Dad,Yes,Yes,Yes,Yes,Check!,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,101
695,1978,Female,"$25,001 - $50,000",Single (no kids),Associate's Degree,Other,1,No,Yes,No,Yes,No,No,Public,Yes,Yes,No,Yes,Yes,No,Yes,Science,Try first,Yes,No,No,Yes,Giving,Yes,No,Pragmatist,No,No,Cool headed,Standard hours,Yes,Happy,Yes,Yes,No,Yes,P.M.,Yes,End,Yes,No,Me,No,No,Yes,Yes,Yes,Mysterious,No,Yes,Tunes,Technology,No,Yes,Yes,No,Yes,Supportive,No,Mac,Yes,Cautious,No,Umm...,Yes,Space,Yes,In-person,No,Yes,Yes,Yes,Grrr people,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Rent,Optimist,Mom,No,No,Yes,Yes,Nope,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,101
